season_id,model_id,origin,as_of,match_id,appearance,log_loss,brier,score_nll
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:burton-albion,3,0.521187458292649,0.24865693782548012,2.1795132558220587
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:sheffield-wednesday:sunderland,3,1.4369763003472327,0.9047362981789914,2.2868757510084157
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:nottingham-forest:middlesbrough,4,1.1393961317045556,0.7061376092562056,2.6458917019826202
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:queens-park-rangers:hull-city,4,1.1406469348189345,0.7070761300728066,2.6476564104271296
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:sunderland:leeds-united,4,1.0983821631693635,0.6810846451728648,2.915173729736364
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:hull-city:bolton-wanderers,5,0.42894410974665415,0.18384432193824635,3.1435200098826
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:barnsley:sunderland,5,0.8588513242930947,0.5029829610556381,3.30673035718661
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:preston-north-end,5,1.440775024536017,0.9302472641720185,2.6063573227680417
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:derby-county:hull-city,6,0.9453823094597942,0.5644378118153345,5.737146568534376
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:bolton-wanderers:middlesbrough,6,0.7033538781283806,0.38268854360344473,3.021744514712368
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:sunderland:sheffield-united,6,1.323071534927782,0.8452742245234838,2.912046847151153
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:aston-villa:middlesbrough,7,1.2624473393881817,0.7721809572867616,2.214607739064853
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:sunderland:nottingham-forest,7,1.2482049777526807,0.7918131987474517,2.5608798932134182
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:fulham:hull-city,7,0.8705853304323251,0.5108906039351117,2.4696925347730088
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:hull-city:sunderland,8,1.487064118921162,0.9456488344052929,2.326643732894347
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:middlesbrough:queens-park-rangers,8,0.5545990949347823,0.27251904032755697,3.728672220014674
2017-2018,retained,preseason,2017-08-04,eng-championship:2017-2018:fulham:middlesbrough,9,1.391140574608085,0.8494755068044352,2.1543225264714496
