competition_id,model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
eng-championship,M2,MW19,promotion,0.5,0.6,5,0.5563800000000001,0.4
eng-championship,M2,MW19,promotion,0.6,0.7,6,0.6621,0.6666666666666666
eng-championship,M2,MW19,promotion,0.7,0.8,6,0.7529500000000001,0.8333333333333334
eng-championship,M2,MW19,promotion,0.8,0.9,6,0.8511833333333333,0.6666666666666666
eng-championship,M2,MW19,promotion,0.9,1.0,5,0.9602,1.0
eng-championship,M2,MW19,relegation,0.0,0.1,188,0.012492553191489363,0.031914893617021274
eng-championship,M2,MW19,relegation,0.1,0.2,26,0.1374692307692308,0.19230769230769232
eng-championship,M2,MW19,relegation,0.2,0.3,10,0.25173999999999996,0.1
eng-championship,M2,MW19,relegation,0.3,0.4,5,0.34168000000000004,0.2
eng-championship,M2,MW19,relegation,0.4,0.5,10,0.46107000000000004,0.4
eng-championship,M2,MW19,relegation,0.5,0.6,8,0.5532999999999999,0.375
eng-championship,M2,MW19,relegation,0.6,0.7,5,0.6385,0.6
eng-championship,M2,MW19,relegation,0.7,0.8,2,0.7484500000000001,1.0
eng-championship,M2,MW19,relegation,0.8,0.9,5,0.8525,0.8
eng-championship,M2,MW19,relegation,0.9,1.0,5,0.97248,0.8
eng-championship,M2,MW19,title,0.0,0.1,236,0.004513559322033899,0.00423728813559322
eng-championship,M2,MW19,title,0.1,0.2,9,0.1503,0.1111111111111111
eng-championship,M2,MW19,title,0.2,0.3,4,0.243375,0.25
eng-championship,M2,MW19,title,0.3,0.4,7,0.3470428571428572,0.2857142857142857
eng-championship,M2,MW19,title,0.4,0.5,1,0.4272,1.0
eng-championship,M2,MW19,title,0.5,0.6,2,0.52935,0.5
eng-championship,M2,MW19,title,0.6,0.7,1,0.6116,0.0
eng-championship,M2,MW19,title,0.7,0.8,2,0.7307,1.0
eng-championship,M2,MW19,title,0.8,0.9,2,0.8102,1.0
eng-championship,M2,MW19,title,0.9,1.0,0,,
eng-championship,M2,MW30,points_pit,0.0,0.1,36,0.055396610002162484,0.13636363636363635
eng-championship,M2,MW30,points_pit,0.1,0.2,34,0.15246509044975196,0.12878787878787878
eng-championship,M2,MW30,points_pit,0.2,0.3,23,0.2529659614077222,0.08712121212121213
eng-championship,M2,MW30,points_pit,0.3,0.4,18,0.34713569840411357,0.06818181818181818
eng-championship,M2,MW30,points_pit,0.4,0.5,22,0.4478331086287363,0.08333333333333333
eng-championship,M2,MW30,points_pit,0.5,0.6,26,0.550638906323162,0.09848484848484848
eng-championship,M2,MW30,points_pit,0.6,0.7,29,0.6562190918020085,0.10984848484848485
eng-championship,M2,MW30,points_pit,0.7,0.8,18,0.7481683397155365,0.06818181818181818
eng-championship,M2,MW30,points_pit,0.8,0.9,22,0.8497366960136915,0.08333333333333333
eng-championship,M2,MW30,points_pit,0.9,1.0,36,0.965302048156285,0.13636363636363635
eng-championship,M2,MW30,rank_pit,0.0,0.1,36,0.052342624778814704,0.13636363636363635
eng-championship,M2,MW30,rank_pit,0.1,0.2,23,0.13686545097072828,0.08712121212121213
eng-championship,M2,MW30,rank_pit,0.2,0.3,29,0.24791260528014647,0.10984848484848485
eng-championship,M2,MW30,rank_pit,0.3,0.4,25,0.3570992918977787,0.0946969696969697
eng-championship,M2,MW30,rank_pit,0.4,0.5,26,0.4499744036195926,0.09848484848484848
eng-championship,M2,MW30,rank_pit,0.5,0.6,14,0.5511318678687869,0.05303030303030303
eng-championship,M2,MW30,rank_pit,0.6,0.7,35,0.6527772247631706,0.13257575757575757
eng-championship,M2,MW30,rank_pit,0.7,0.8,18,0.7594148826876915,0.06818181818181818
eng-championship,M2,MW30,rank_pit,0.8,0.9,28,0.8506070755541381,0.10606060606060606
eng-championship,M2,MW30,rank_pit,0.9,1.0,30,0.9569723038608474,0.11363636363636363
eng-championship,M2,MW30,automatic_promotion,0.0,0.1,227,0.0038480176211453743,0.0
eng-championship,M2,MW30,automatic_promotion,0.1,0.2,4,0.158,0.5
eng-championship,M2,MW30,automatic_promotion,0.2,0.3,4,0.26275,0.5
eng-championship,M2,MW30,automatic_promotion,0.3,0.4,3,0.3665333333333334,0.0
eng-championship,M2,MW30,automatic_promotion,0.4,0.5,6,0.4332833333333334,0.3333333333333333
eng-championship,M2,MW30,automatic_promotion,0.5,0.6,5,0.5597200000000001,0.8
eng-championship,M2,MW30,automatic_promotion,0.6,0.7,4,0.650575,0.5
eng-championship,M2,MW30,automatic_promotion,0.7,0.8,0,,
eng-championship,M2,MW30,automatic_promotion,0.8,0.9,4,0.86985,0.75
eng-championship,M2,MW30,automatic_promotion,0.9,1.0,7,0.9805571428571428,1.0
eng-championship,M2,MW30,playoff_qualification,0.0,0.1,160,0.011273125,0.00625
eng-championship,M2,MW30,playoff_qualification,0.1,0.2,29,0.1398551724137931,0.3448275862068966
eng-championship,M2,MW30,playoff_qualification,0.2,0.3,11,0.25702727272727266,0.2727272727272727
eng-championship,M2,MW30,playoff_qualification,0.3,0.4,12,0.3591,0.25
eng-championship,M2,MW30,playoff_qualification,0.4,0.5,12,0.4411333333333333,0.16666666666666666
eng-championship,M2,MW30,playoff_qualification,0.5,0.6,18,0.5544,0.6111111111111112
eng-championship,M2,MW30,playoff_qualification,0.6,0.7,10,0.6500199999999999,0.5
eng-championship,M2,MW30,playoff_qualification,0.7,0.8,10,0.7451200000000001,0.8
eng-championship,M2,MW30,playoff_qualification,0.8,0.9,1,0.8466,0.0
eng-championship,M2,MW30,playoff_qualification,0.9,1.0,1,0.9332,1.0
eng-championship,M2,MW30,promotion,0.0,0.1,197,0.010982233502538071,0.01015228426395939
eng-championship,M2,MW30,promotion,0.1,0.2,19,0.13483157894736839,0.10526315789473684
eng-championship,M2,MW30,promotion,0.2,0.3,12,0.22615833333333332,0.25
eng-championship,M2,MW30,promotion,0.3,0.4,3,0.37609999999999993,0.6666666666666666
eng-championship,M2,MW30,promotion,0.4,0.5,4,0.445725,0.5
eng-championship,M2,MW30,promotion,0.5,0.6,4,0.552,0.25
