season_id,competition_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,rank_rps,rank_sd,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,rank_coverage_50,rank_width_50,rank_coverage_80,rank_width_80,rank_coverage_90,rank_width_90,rank_coverage_95,rank_width_95,automatic_promotion_brier,playoff_qualification_brier,promotion_brier,relegation_brier,title_brier
2016-2017,eng-championship,M2,MW30,24,1,-0.03147916666666658,5.137522788230075,6,1.328949999999999,4,0.04928456492753624,2.273061091018062,2.9247415754166703,4.934624473887266,0.5833333333333334,6.75,0.7916666666666666,12.75,0.875,16.125,0.9583333333333334,19.291666666666668,0.625,3.0,1.0,5.833333333333333,1.0,7.333333333333333,1.0,8.5,0.0002373916666666698,0.07871636583333333,0.03510954166666667,0.037451528333333324,0.003676960833333333
2016-2017,eng-championship,M2,MW6,24,1,-0.512033333333334,13.853209427601966,6,4.926049999999996,4,0.16250915695652174,4.685703290553659,8.645940075833336,8.03909768600144,0.20833333333333334,10.75,0.4583333333333333,20.625,0.6666666666666666,26.333333333333332,0.7916666666666666,31.541666666666668,0.4166666666666667,6.791666666666667,0.75,12.083333333333334,0.875,15.083333333333334,0.9166666666666666,17.125,0.04965733166666666,0.16290866249999997,0.0862435775,0.053999966666666656,0.018620982499999997
2016-2017,eng-championship,M2,preseason,24,1,-0.6119166666666661,15.98430304819909,6,-0.2468166666666652,4,0.18850821840579712,5.056611112116228,9.93247220583333,8.593375443044664,0.20833333333333334,11.625,0.4583333333333333,22.041666666666668,0.6666666666666666,28.083333333333332,0.7083333333333334,33.708333333333336,0.3333333333333333,7.5,0.6666666666666666,13.291666666666666,0.75,16.291666666666668,0.9166666666666666,18.125,0.09452512,0.1707502641666667,0.1419171333333333,0.09731391416666668,0.054415849791666665
2016-2017,eng-championship,M7,MW12,24,1,-0.554629166666668,11.616928140559219,6,3.9825666666666657,4,0.12895641289855073,4.904083835328997,6.856660714583332,9.50678039632524,0.375,12.958333333333334,0.7083333333333334,24.625,0.8333333333333334,31.208333333333332,0.875,36.875,0.5833333333333334,7.208333333333333,0.7916666666666666,12.625,0.9583333333333334,15.75,1.0,17.625,0.03975932833333334,0.13798460499999998,0.0707985,0.05216294916666667,0.011726024166666668
2016-2017,eng-championship,M7,MW19,24,1,-0.4142416666666649,8.705436735167282,6,2.875716666666669,5,0.09703708134057971,4.466905253821209,5.021313703333333,7.959452546470918,0.5,10.958333333333334,0.75,20.458333333333332,0.875,26.25,0.9166666666666666,30.916666666666668,0.7083333333333334,6.541666666666667,0.875,11.625,1.0,14.166666666666666,1.0,15.875,0.005864735833333332,0.12323697416666668,0.04941092750000001,0.048883439166666674,0.006911623333333331
2016-2017,eng-championship,M7,MW30,24,1,0.010962500000000356,4.842209628404852,6,1.3087833333333319,4,0.04750580286231884,2.5241820837889217,2.767786044583334,5.503276022076865,0.625,7.375,0.875,14.25,0.9583333333333334,18.166666666666668,0.9583333333333334,21.375,0.75,3.4583333333333335,1.0,6.458333333333333,1.0,8.166666666666666,1.0,9.5,0.0006681916666666678,0.07200891916666666,0.03296658,0.03575040250000001,0.00699753416666667
2016-2017,eng-championship,M7,MW6,24,1,-0.4329874999999979,13.472518856654709,6,3.812033333333339,4,0.1494101199637681,5.714975139190048,7.973502570416666,11.101113052394908,0.375,15.208333333333334,0.75,28.541666666666668,0.7916666666666666,36.583333333333336,0.875,43.291666666666664,0.4583333333333333,8.75,0.9166666666666666,15.25,0.9166666666666666,18.166666666666668,1.0,20.083333333333332,0.0486259425,0.14686259083333333,0.07879762083333335,0.06454342083333334,0.021484404999999998
2016-2017,eng-championship,M7,preseason,24,1,-0.47775416666666803,15.490286873486772,6,0.30444999999999806,4,0.16800397902173914,6.108465498363174,8.978342713750001,13.073191430836966,0.4166666666666667,17.958333333333332,0.7083333333333334,33.875,0.8333333333333334,43.125,0.8333333333333334,50.958333333333336,0.5,10.0,0.7916666666666666,16.625,0.9583333333333334,19.083333333333332,1.0,20.625,0.06415656833333334,0.16096708166666668,0.10504861333333333,0.10515915666666668,0.036632348333333335
2017-2018,eng-championship,M2,MW12,24,1,0.059995833333332214,11.414940733110122,6,2.179350000000001,3,0.11266338923913043,3.8136934943957073,7.014131644583333,7.234070225761457,0.3333333333333333,9.875,0.4583333333333333,18.541666666666668,0.6666666666666666,23.833333333333332,0.8333333333333334,28.208333333333332,0.4166666666666667,5.375,0.7916666666666666,9.833333333333334,0.8333333333333334,12.416666666666666,1.0,14.208333333333334,0.052626559999999996,0.11830785749999999,0.08489602750000001,0.09929600833333335,0.0328526025
2017-2018,eng-championship,M2,MW19,24,1,0.08906666666666634,9.850262114617392,6,-0.2698499999999993,3,0.09681977275362319,3.093972628068606,5.803803360833332,6.565190259348685,0.3333333333333333,8.916666666666666,0.6666666666666666,16.75,0.75,21.666666666666668,0.875,25.75,0.5,4.208333333333333,0.75,8.041666666666666,0.875,9.916666666666666,0.9166666666666666,11.625,0.024125333333333332,0.09306829166666668,0.06762137666666668,0.092324905,0.01108412916666667
