model_id,outcome,bin_lower,bin_upper,count,mean_prediction,observed_frequency
market:market_average_closing,D,0.4,0.5,0,,
market:market_average_closing,D,0.5,0.6,0,,
market:market_average_closing,D,0.6,0.7,0,,
market:market_average_closing,D,0.7,0.8,0,,
market:market_average_closing,D,0.8,0.9,0,,
market:market_average_closing,D,0.9,1.0,0,,
market:market_average_closing,A,0.0,0.1,130,0.06872198898412006,0.07692307692307693
market:market_average_closing,A,0.1,0.2,306,0.15253551113430738,0.16339869281045752
market:market_average_closing,A,0.2,0.3,335,0.25244609449548805,0.25970149253731345
market:market_average_closing,A,0.3,0.4,267,0.3465009249255038,0.37453183520599254
market:market_average_closing,A,0.4,0.5,202,0.443657592149421,0.47029702970297027
market:market_average_closing,A,0.5,0.6,138,0.5488021952733114,0.4782608695652174
market:market_average_closing,A,0.6,0.7,83,0.64552301970108,0.6506024096385542
market:market_average_closing,A,0.7,0.8,51,0.7393534694982066,0.7450980392156863
market:market_average_closing,A,0.8,0.9,8,0.8332257992507012,0.875
market:market_average_closing,A,0.9,1.0,0,,
market:market_average_preclosing,H,0.0,0.1,40,0.08221138718345747,0.05
market:market_average_preclosing,H,0.1,0.2,150,0.15110598420488225,0.18
market:market_average_preclosing,H,0.2,0.3,227,0.2512367551202126,0.27312775330396477
market:market_average_preclosing,H,0.3,0.4,296,0.35072254602639835,0.3310810810810811
market:market_average_preclosing,H,0.4,0.5,278,0.44699589930714473,0.420863309352518
market:market_average_preclosing,H,0.5,0.6,204,0.5509970399353107,0.5931372549019608
market:market_average_preclosing,H,0.6,0.7,157,0.6497187195359387,0.7070063694267515
market:market_average_preclosing,H,0.7,0.8,105,0.744136487067742,0.6857142857142857
market:market_average_preclosing,H,0.8,0.9,63,0.8402269412054053,0.8412698412698413
market:market_average_preclosing,H,0.9,1.0,0,,
market:market_average_preclosing,D,0.0,0.1,16,0.08890232702764984,0.125
market:market_average_preclosing,D,0.1,0.2,278,0.1621125860867925,0.1618705035971223
