season_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
2020-2021,M4,MW30,20,1,-0.303990000000001,3.7498710285821812,3,-0.6334666666666671,2,0.04481059543421052,2.1173597970000007,3.665974386057763,0.55,5.05,0.85,9.6,0.9,12.15,0.9,14.2,9.000000000406956e-09,0.0936145965,0.007329740000000001
2020-2021,M4,MW6,20,1,-0.09345499999999998,7.044037210825904,3,-4.09566666666667,1,0.07088697013157894,4.071966312500001,9.201556220809355,0.65,12.35,0.9,23.7,1.0,30.15,1.0,35.85,0.014515486999999994,0.06896098325000001,0.039391115
2020-2021,M4,preseason,20,1,-0.3545400000000008,10.64935726534705,3,-1.5172666666666668,2,0.10198498207894738,6.032090963999998,10.350780111484477,0.5,14.0,0.8,26.7,0.9,34.25,0.95,40.25,0.007413392999999999,0.045084791000000006,0.08871766075
2020-2021,M5,MW12,20,1,-0.18766999999999961,7.754990656216162,3,-2.1469666666666662,2,0.07477991990789473,4.4387796800000014,7.468446484926952,0.5,10.3,0.85,19.15,0.9,24.7,0.95,29.15,0.03762994125,0.06259096974999999,0.019077325999999995
2020-2021,M5,MW19,20,1,-0.3730649999999997,5.541090586743733,3,-2.9541333333333335,1,0.06555639881578948,3.1129582405000007,5.96445799311203,0.55,8.3,0.9,15.4,0.9,19.75,1.0,23.35,0.003235891000000002,0.08174234050000001,0.013032484999999996
2020-2021,M5,MW30,20,1,-0.3100950000000006,3.718789799719796,3,-0.5502666666666668,2,0.043934139697368424,2.0955044184999987,3.628147617564166,0.55,5.0,0.85,9.45,0.9,12.1,0.9,14.0,6.399999999980996e-08,0.08604750650000001,0.007285379999999998
2020-2021,M5,MW6,20,1,-0.14275499999999983,7.300501913053651,3,-2.316733333333333,1,0.07129146113157894,4.165848973499999,8.804479294174012,0.6,11.95,0.9,22.7,0.95,28.95,1.0,34.55,0.015695920749999998,0.06662739025,0.03983099375
2020-2021,M5,preseason,20,1,-0.3462250000000008,10.715699235350906,3,0.49933333333333013,2,0.10152267598245615,6.040068725500002,9.997051178779836,0.45,13.6,0.8,25.7,0.9,32.75,0.95,38.95,0.009868445999999993,0.04832485199999999,0.09599589900000001
2020-2021,M7,MW12,20,1,-0.21605500000000166,7.454970380390521,3,-1.4591333333333338,2,0.07392203005263158,4.222386990500001,7.1409566550584245,0.5,9.6,0.7,18.45,0.95,23.6,0.95,27.75,0.025484174,0.03349478900000001,0.016931003999999996
2020-2021,M7,MW19,20,1,-0.3752400000000005,5.202597330180379,3,-2.8420666666666654,1,0.06289811011842106,2.9213666170000003,5.7922049281383305,0.55,7.85,0.85,15.05,0.9,18.95,1.0,22.55,0.0017975127499999994,0.06416899149999998,0.014786009999999997
2020-2021,M7,MW30,20,1,-0.3034200000000011,3.6950067672468476,3,-0.10510000000000137,2,0.043314752750000005,2.073466357000002,3.6002461534290875,0.6,4.95,0.8,9.3,0.85,11.9,0.95,13.85,9.000000000406956e-09,0.07539869599999999,0.010629077999999998
2020-2021,M7,MW6,20,1,-0.262760000000001,7.626135545084417,3,-2.309933333333337,1,0.07687168157894737,4.320374912999999,8.352480592886392,0.65,11.55,0.75,21.4,0.95,27.6,1.0,32.6,0.015951043999999998,0.04373763025,0.033697361
