model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M4,MW12,title,0.8,0.9,3,0.8432666666666666,1.0
M4,MW12,title,0.9,1.0,0,,
M4,MW12,top_four,0.0,0.1,145,0.013871724137931035,0.013793103448275862
M4,MW12,top_four,0.1,0.2,14,0.14659642857142854,0.07142857142857142
M4,MW12,top_four,0.2,0.3,8,0.23569999999999997,0.5
M4,MW12,top_four,0.3,0.4,9,0.3564388888888889,0.3333333333333333
M4,MW12,top_four,0.4,0.5,4,0.4508625,0.5
M4,MW12,top_four,0.5,0.6,4,0.5314000000000001,0.5
M4,MW12,top_four,0.6,0.7,2,0.6778250000000001,0.0
M4,MW12,top_four,0.7,0.8,9,0.7465166666666667,0.7777777777777778
M4,MW12,top_four,0.8,0.9,10,0.8351099999999999,0.8
M4,MW12,top_four,0.9,1.0,15,0.9658833333333333,1.0
M4,MW12,relegation,0.0,0.1,148,0.016595945945945944,0.013513513513513514
M4,MW12,relegation,0.1,0.2,18,0.14824444444444446,0.05555555555555555
M4,MW12,relegation,0.2,0.3,7,0.23865,0.14285714285714285
M4,MW12,relegation,0.3,0.4,15,0.3326066666666667,0.6
M4,MW12,relegation,0.4,0.5,5,0.45135,0.2
M4,MW12,relegation,0.5,0.6,6,0.5740083333333333,0.6666666666666666
M4,MW12,relegation,0.6,0.7,8,0.66134375,0.375
M4,MW12,relegation,0.7,0.8,9,0.7576055555555556,0.8888888888888888
M4,MW12,relegation,0.8,0.9,3,0.8285166666666667,1.0
M4,MW12,relegation,0.9,1.0,1,0.9202,1.0
M4,MW19,pit,0.0,0.1,21,0.04675500405924304,0.09545454545454546
M4,MW19,pit,0.1,0.2,25,0.14780872871171266,0.11363636363636363
M4,MW19,pit,0.2,0.3,15,0.2558767708208303,0.06818181818181818
M4,MW19,pit,0.3,0.4,31,0.35142762226726904,0.1409090909090909
M4,MW19,pit,0.4,0.5,21,0.4454826659529929,0.09545454545454546
M4,MW19,pit,0.5,0.6,20,0.5508958438055215,0.09090909090909091
M4,MW19,pit,0.6,0.7,27,0.6478678077869101,0.12272727272727273
M4,MW19,pit,0.7,0.8,22,0.7582919051039109,0.1
M4,MW19,pit,0.8,0.9,14,0.8529124110237596,0.06363636363636363
M4,MW19,pit,0.9,1.0,24,0.9525868719940455,0.10909090909090909
M4,MW19,title,0.0,0.1,198,0.0037911616161616164,0.0
M4,MW19,title,0.1,0.2,6,0.13589166666666666,0.16666666666666666
M4,MW19,title,0.2,0.3,1,0.2036,1.0
M4,MW19,title,0.3,0.4,4,0.34541249999999996,0.25
M4,MW19,title,0.4,0.5,2,0.412175,0.5
M4,MW19,title,0.5,0.6,1,0.5783,0.0
M4,MW19,title,0.6,0.7,3,0.6531666666666668,0.6666666666666666
M4,MW19,title,0.7,0.8,1,0.7664,1.0
M4,MW19,title,0.8,0.9,1,0.8302,1.0
M4,MW19,title,0.9,1.0,3,0.9633333333333334,1.0
M4,MW19,top_four,0.0,0.1,151,0.011632781456953642,0.013245033112582781
M4,MW19,top_four,0.1,0.2,8,0.13496875,0.0
M4,MW19,top_four,0.2,0.3,11,0.25455,0.18181818181818182
M4,MW19,top_four,0.3,0.4,4,0.347825,0.25
M4,MW19,top_four,0.4,0.5,1,0.487,0.0
M4,MW19,top_four,0.5,0.6,9,0.5425,0.6666666666666666
M4,MW19,top_four,0.6,0.7,5,0.64577,1.0
M4,MW19,top_four,0.7,0.8,5,0.72578,0.6
M4,MW19,top_four,0.8,0.9,5,0.8475400000000001,1.0
M4,MW19,top_four,0.9,1.0,21,0.976542857142857,0.9523809523809523
M4,MW19,relegation,0.0,0.1,152,0.009199342105263159,0.006578947368421052
M4,MW19,relegation,0.1,0.2,16,0.1480875,0.0625
M4,MW19,relegation,0.2,0.3,16,0.23145624999999997,0.25
M4,MW19,relegation,0.3,0.4,2,0.33255,0.0
M4,MW19,relegation,0.4,0.5,3,0.4668666666666667,1.0
M4,MW19,relegation,0.5,0.6,6,0.5606166666666667,0.6666666666666666
M4,MW19,relegation,0.6,0.7,8,0.6462375,0.75
M4,MW19,relegation,0.7,0.8,3,0.7664,0.3333333333333333
