model_id,origin,metric,difference_vs_M2,season_cluster_ci_low,season_cluster_ci_high,club_seasons,seasons
M4,MW30,top_four_brier,0.0021666586363636377,-0.0010608959443181808,0.005542879936931822,220,11
M4,MW30,relegation_brier,0.0007994911818181808,-0.0012781976551136374,0.0024461683426136396,220,11
M5,MW30,trps,0.0008502692511961725,0.00027505718842703335,0.0015139271327153112,220,11
M5,MW30,points_crps,0.03631498031818214,0.011459471490909635,0.06714924325340878,220,11
M5,MW30,title_brier,0.0010925031818181806,0.0003248466227272736,0.0020343233840909077,220,11
M5,MW30,top_four_brier,0.0007318606590909076,-0.0009479182789772739,0.002448755968181816,220,11
M5,MW30,relegation_brier,0.00027843243181818153,-0.0014207497039772734,0.0016974142369318196,220,11
M7,MW30,trps,0.00028305956818181817,-0.0006117147656997612,0.0011300301842703331,220,11
M7,MW30,points_crps,-0.029839998363635687,-0.09186449691931733,0.02814082394659196,220,11
M7,MW30,title_brier,0.00037543684090908964,-0.0002338093994318202,0.0010410940954545442,220,11
M7,MW30,top_four_brier,-0.0014436602954545459,-0.0032641087181818178,0.00021289106193181812,220,11
M7,MW30,relegation_brier,0.001249475136363636,-0.0011083959517045455,0.003407406683522727,220,11
