subgroup,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
promoted,M7,MW12,33,11,1.4915515151515146,7.333098927259178,33,1.4915515151515146,21,0.06277774050239235,4.206188783636363,6.957798150888918,0.5454545454545454,9.424242424242424,0.7575757575757576,17.90909090909091,0.9090909090909091,22.87878787878788,0.9393939393939394,27.242424242424242,1.515151515151515e-09,2.5475151515151516e-05,0.1361866296969697
promoted,M7,MW19,33,11,1.8185575757575767,5.838314708107905,33,1.8185575757575767,20,0.05507764784688996,3.3451988957575742,5.621268421773995,0.42424242424242425,7.636363636363637,0.7575757575757576,14.515151515151516,0.9090909090909091,18.545454545454547,1.0,21.818181818181817,2.4545454545454544e-08,0.00013284393939393943,0.10550180189393939
promoted,M7,MW30,33,11,0.973560606060606,3.72634592991498,33,0.973560606060606,21,0.03367568924242425,2.1092060354545445,3.40121472933469,0.5454545454545454,4.7272727272727275,0.8181818181818182,8.757575757575758,0.8787878787878788,11.151515151515152,0.9393939393939394,13.090909090909092,0.0,1.4851515151515153e-06,0.058629701212121216
promoted,M7,MW6,33,11,2.771169696969697,8.418627495961417,33,2.771169696969697,20,0.07078481588915471,4.774237979999999,8.36020939996122,0.48484848484848486,11.393939393939394,0.8484848484848485,21.515151515151516,0.9090909090909091,27.393939393939394,0.9393939393939394,32.57575757575758,5.4545454545454545e-08,0.00024163477272727267,0.1645675337121212
promoted,M7,preseason,33,11,2.8155484848484855,12.50756150704142,33,2.8155484848484855,19,0.11387225215709729,7.424424642727272,10.254641654312014,0.36363636363636365,13.878787878787879,0.6363636363636364,26.454545454545453,0.8787878787878788,33.78787878787879,0.9090909090909091,39.93939393939394,1.5515151515151514e-07,5.7029999999999994e-05,0.2592588637121212
incumbent,M2,MW12,187,11,-0.26176363636363625,8.197918353130808,0,,0,0.08057970712355755,4.684781416684492,6.23346187051975,0.44919786096256686,8.443850267379679,0.679144385026738,16.0427807486631,0.8074866310160428,20.459893048128343,0.8716577540106952,24.310160427807485,0.01992143,0.07690541665775401,0.05089102389037433
incumbent,M2,MW19,187,11,-0.3014775401069515,6.105537365599139,0,,0,0.06008164337531665,3.446465286363636,5.308338059770587,0.5026737967914439,7.229946524064171,0.786096256684492,13.647058823529411,0.8663101604278075,17.427807486631018,0.9197860962566845,20.668449197860962,0.018384242379679144,0.054970820868983965,0.039840562045454546
incumbent,M2,MW30,187,11,-0.18600695187165756,3.8894923293475565,0,,0,0.04275818085772586,2.2321670075401068,3.426103120882119,0.48128342245989303,4.705882352941177,0.7807486631016043,8.850267379679144,0.8983957219251337,11.283422459893048,0.9518716577540107,13.267379679144385,0.009156313636363638,0.041447559652406415,0.026539565200534757
incumbent,M2,MW6,187,11,-0.7314705882352937,9.845656175605326,0,,0,0.09722055774627075,5.69693288459893,6.930767886093676,0.4117647058823529,9.3475935828877,0.6470588235294118,17.807486631016044,0.7379679144385026,22.764705882352942,0.8609625668449198,27.074866310160427,0.03352875740641711,0.10286986736631018,0.05710908897058822
incumbent,M2,preseason,187,11,-1.1599903743315505,11.271518795244535,0,,0,0.10813621233746132,6.472880488235295,7.589044374199399,0.42245989304812837,10.272727272727273,0.6737967914438503,19.44385026737968,0.7593582887700535,25.0,0.8288770053475936,29.754010695187166,0.036158208770053483,0.11067235977272728,0.06832967839572193
incumbent,M4,MW12,187,11,0.013534759358288441,8.188272657331469,0,,0,0.08067223250844358,4.613240171229946,7.83216682188676,0.5294117647058824,10.711229946524064,0.786096256684492,20.192513368983956,0.8823529411764706,25.823529411764707,0.9411764705882353,30.540106951871657,0.022044975508021394,0.07201100336898396,0.05203356160427807
incumbent,M4,MW19,187,11,-0.14581390374331615,6.135575457219147,0,,0,0.06081083871305939,3.4463361778609625,6.233543193345806,0.5989304812834224,8.524064171122994,0.839572192513369,16.101604278074866,0.9144385026737968,20.53475935828877,0.9411764705882353,24.235294117647058,0.02088361240641711,0.05271273433155079,0.040762986537433155
incumbent,M4,MW30,187,11,-0.17214438502673843,3.9158633605779167,0,,0,0.04383958316704193,2.2364613893048126,3.6934719678571493,0.48128342245989303,5.064171122994653,0.8288770053475936,9.566844919786096,0.9197860962566845,12.117647058823529,0.9572192513368984,14.27807486631016,0.011447135962566845,0.04399627093582888,0.027726526697860965
incumbent,M4,MW6,187,11,-0.1029572192513367,9.804628435694648,0,,0,0.09449183155994934,5.549922169197861,9.170291757031942,0.5026737967914439,12.518716577540108,0.7647058823529411,23.60427807486631,0.8823529411764706,30.18716577540107,0.9518716577540107,35.80748663101604,0.03423014540106952,0.09852543211229947,0.05507429875668449
incumbent,M4,preseason,187,11,0.04835240641711244,11.297610725146795,0,,0,0.10648725851956092,6.369528765721927,10.670742078737444,0.5240641711229946,14.588235294117647,0.8074866310160428,27.529411764705884,0.8823529411764706,35.0855614973262,0.9090909090909091,41.598930481283425,0.03637106877005348,0.10801985382352941,0.06597386122994653
incumbent,M5,MW12,187,11,-0.12461550802139061,8.250234850065176,0,,0,0.0803015625161835,4.659344725828877,7.56114662473316,0.5080213903743316,10.3475935828877,0.7754010695187166,19.486631016042782,0.8770053475935828,24.88235294117647,0.9251336898395722,29.524064171122994,0.022082326898395722,0.07241311310160428,0.050858236791443856
incumbent,M5,MW19,187,11,-0.2160465240641712,6.128015637541831,0,,0,0.060091805082559346,3.4457623136363638,6.086984359539992,0.5721925133689839,8.336898395721924,0.8342245989304813,15.668449197860962,0.9090909090909091,20.085561497326204,0.9411764705882353,23.74331550802139,0.01985687604278075,0.05343844121657753,0.04059690737967915
incumbent,M5,MW30,187,11,-0.18310053475935795,3.915649922791996,0,,0,0.04329696773079087,2.238870076363636,3.6524711381472934,0.4919786096256685,5.026737967914438,0.8074866310160428,9.46524064171123,0.9090909090909091,12.037433155080214,0.9518716577540107,14.090909090909092,0.010441611497326203,0.042308286203208555,0.027168681644385028
incumbent,M5,MW6,187,11,-0.28538021390374313,9.803439846841604,0,,0,0.09371516709775778,5.540260358877006,8.791729194275442,0.5080213903743316,11.994652406417112,0.7540106951871658,22.6951871657754,0.8663101604278075,28.90909090909091,0.9358288770053476,34.31016042780749,0.03407463254010695,0.09645374584224599,0.056043433502673795
incumbent,M5,preseason,187,11,-0.22505294117647057,11.345360695724763,0,,0,0.10560126020499111,6.382871060053476,10.066384465645047,0.45989304812834225,13.711229946524064,0.7914438502673797,25.893048128342247,0.8609625668449198,33.155080213903744,0.8983957219251337,39.27807486631016,0.036123954572192515,0.10485602874331551,0.06782309581550802
incumbent,M7,MW12,187,11,-0.11925080213903776,8.15962004828368,0,,0,0.07917269134534198,4.621432358770053,7.239396136339215,0.49732620320855614,9.844919786096257,0.786096256684492,18.6524064171123,0.8663101604278075,23.83957219251337,0.9037433155080213,28.155080213903744,0.021251749010695188,0.0642842528342246,0.05117490243315508
incumbent,M7,MW19,187,11,-0.24233903743315588,6.0249965687078335,0,,0,0.05909805279763581,3.399751837326203,5.882310498570691,0.5133689839572193,7.983957219251337,0.8288770053475936,15.171122994652407,0.8983957219251337,19.3475935828877,0.9358288770053476,22.90909090909091,0.020928191069518716,0.04710028957219252,0.04425543370320856
incumbent,M7,MW30,187,11,-0.20434385026737958,3.796537792881924,0,,0,0.04280273543765832,2.1737183466844927,3.5994298196041794,0.49732620320855614,4.9411764705882355,0.8342245989304813,9.310160427807487,0.9197860962566845,11.807486631016042,0.9679144385026738,13.914438502673796,0.009598004037433156,0.03974952085561497,0.028014782406417114
incumbent,M7,MW6,187,11,-0.3172556149732622,9.850167496526426,0,,0,0.09403789805023927,5.5571605268449185,8.408923594433746,0.5187165775401069,11.475935828877006,0.7219251336898396,21.620320855614974,0.8181818181818182,27.71657754010695,0.9037433155080213,32.82887700534759,0.033450776203208556,0.08724656201871656,0.05725018514705882
incumbent,M7,preseason,187,11,-0.26997005347593606,11.395833190686258,0,,0,0.1049575852103856,6.4292151444919785,9.636791934329018,0.48128342245989303,13.128342245989305,0.7647058823529411,24.86631016042781,0.839572192513369,31.663101604278076,0.8983957219251337,37.6524064171123,0.03432807449197861,0.10296266743315509,0.06920061009358289
