competition_id,season_id,team_id,treatment,transition,memory_age,age_bucket,dimension,target,prior_mean,prior_sd,prior_source,realized,realized_variance,squared_error,log_score
eng-premier-league,2020-2021,fulham,source,eng-championship->eng-premier-league,2.0,recent_returner,attack,season,-0.2758087752353578,0.09483569989954738,source entry prior,-0.5474998212549023,0.03103036484161311,0.07381602448719422,0.23194570484248356
eng-premier-league,2020-2021,fulham,source,eng-championship->eng-premier-league,2.0,recent_returner,defense,entry,-0.16585689926020314,0.14418987682156517,source entry prior,-0.4009530079935672,0.05102288904189346,0.05527018034156974,-0.013085209147616073
eng-premier-league,2020-2021,fulham,source,eng-championship->eng-premier-league,2.0,recent_returner,defense,season,-0.16585689926020314,0.14418987682156517,source entry prior,-0.030958833803819898,0.017391598796634294,0.01819748806387466,-0.47545551292477833
eng-premier-league,2020-2021,leeds-united,source,eng-championship->eng-premier-league,,no_target_history,attack,entry,-0.22770994650159998,0.08395232583841092,source entry prior,0.189899122841366,0.06325070331744262,0.17439733479749817,0.8318398604361795
eng-premier-league,2020-2021,leeds-united,source,eng-championship->eng-premier-league,,no_target_history,attack,season,-0.22770994650159998,0.08395232583841092,source entry prior,0.23957903198343597,0.015269004934943523,0.21835898941358836,3.9099476351050115
eng-premier-league,2020-2021,leeds-united,source,eng-championship->eng-premier-league,,no_target_history,defense,entry,-0.1392794145719189,0.15229635692421056,source entry prior,-0.2632384488037294,0.05638007801556955,0.015365842167683164,-0.25004344753338503
eng-premier-league,2020-2021,leeds-united,source,eng-championship->eng-premier-league,,no_target_history,defense,season,-0.1392794145719189,0.15229635692421056,source entry prior,-0.0822023362988681,0.017160914253701972,0.003257792864187967,-0.6457161988654693
eng-premier-league,2020-2021,west-bromwich-albion,source,eng-championship->eng-premier-league,3.0,recent_returner,attack,entry,-0.22585315714302506,0.08391296566267409,source entry prior,-0.5199951998772498,0.1173709581449538,0.08651954130386252,0.22457444504698135
eng-premier-league,2020-2021,west-bromwich-albion,source,eng-championship->eng-premier-league,3.0,recent_returner,attack,season,-0.22585315714302506,0.08391296566267409,source entry prior,-0.28788729783619477,0.025078829204757,0.0038482346115399735,-0.7402926900472631
eng-premier-league,2020-2021,west-bromwich-albion,source,eng-championship->eng-premier-league,3.0,recent_returner,defense,entry,-0.16099263669676728,0.1438981148325961,source entry prior,-0.35091157009106744,0.05362192386820503,0.036069201261628624,-0.1380578386177632
